Count,date,avgTmax,avgTmin,totPrecip
21.0,2009-10-11,79.0,60.0,7.0
0.0,2009-10-18,76.85714285714286,38.285714285714285,2.0
0.0,2009-11-01,76.0,49.714285714285715,0.0
0.0,2009-11-08,76.57142857142857,44.285714285714285,0.0
0.0,2009-11-22,81.0,67.42857142857143,0.0
0.0,2009-11-29,80.14285714285714,59.857142857142854,0.0
0.0,2009-12-06,60.285714285714285,22.142857142857142,0.0
0.0,2009-12-13,56.57142857142857,25.571428571428573,0.0
0.0,2009-12-20,16.0,10.0,0.0
0.0,2009-12-27,32.857142857142854,6.142857142857143,0.0
0.0,2010-01-03,27.714285714285715,17.0,0.0
0.0,2010-01-10,15.0,6.0,0.0
0.0,2010-01-17,24.142857142857142,5.714285714285714,1.0
0.0,2010-01-24,14.714285714285714,11.714285714285714,0.0
0.0,2010-02-07,38.285714285714285,12.714285714285714,1.0
0.0,2010-02-21,28.0,6.714285714285714,0.0
0.0,2010-02-28,53.57142857142857,36.714285714285715,0.0
2.0,2010-12-19,35.42857142857143,9.0,0.0
13.0,2010-12-26,18.857142857142858,8.285714285714286,0.0
28.0,2011-01-02,11.571428571428571,8.285714285714286,1.0
13.0,2011-01-09,12.857142857142858,40.0,0.0
17.0,2011-01-16,56.142857142857146,49.714285714285715,0.0
6.0,2011-01-23,33.142857142857146,29.0,0.0
10.0,2011-01-30,19.714285714285715,9.0,0.0
7.0,2011-02-06,39.714285714285715,20.571428571428573,0.0
12.0,2011-02-13,74.0,36.285714285714285,1.0
2.0,2011-02-20,44.57142857142857,15.571428571428571,1.0
4.0,2011-02-27,39.0,14.142857142857142,1.0
1.0,2011-03-06,70.85714285714286,8.285714285714286,0.0
1.0,2011-03-13,78.14285714285714,28.428571428571427,4.0
3.0,2011-03-20,69.28571428571429,41.42857142857143,0.0
3.0,2011-03-27,59.0,48.57142857142857,0.0
0.0,2011-04-03,59.0,58.0,2.0
0.0,2011-04-10,59.0,59.57142857142857,2.0
0.0,2011-04-17,59.0,44.57142857142857,0.0
0.0,2011-04-24,59.0,71.0,2.0
0.0,2011-05-01,59.0,71.0,0.0
0.0,2011-05-08,59.0,59.857142857142854,0.0
0.0,2011-10-09,59.0,68.57142857142857,0.0
0.0,2011-10-16,59.0,41.0,4.0
0.0,2011-10-23,71.71428571428571,26.714285714285715,2.0
0.0,2011-10-30,82.0,48.57142857142857,0.0
0.0,2011-11-06,82.0,75.71428571428571,0.0
0.0,2011-11-13,71.28571428571429,35.42857142857143,0.0
0.0,2011-11-20,53.42857142857143,26.285714285714285,0.0
0.0,2011-11-27,65.0,34.285714285714285,1.0
0.0,2011-12-04,59.857142857142854,24.571428571428573,0.0
0.0,2011-12-11,64.71428571428571,21.714285714285715,0.0
0.0,2011-12-18,49.142857142857146,13.857142857142858,0.0
0.0,2011-12-25,41.0,17.714285714285715,2.0
0.0,2012-01-01,56.57142857142857,24.714285714285715,0.0
1.0,2012-01-08,66.0,17.571428571428573,0.0
0.0,2012-01-15,57.42857142857143,40.42857142857143,0.0
0.0,2012-01-22,40.857142857142854,26.285714285714285,0.0
0.0,2012-01-29,34.57142857142857,9.714285714285714,0.0
2.0,2012-02-05,2.0,2.0,0.0
1.0,2012-02-12,2.0,2.0,1.0
0.0,2012-02-19,38.42857142857143,14.857142857142858,0.0
2.0,2012-10-07,72.0,68.28571428571429,0.0
0.0,2012-10-14,72.71428571428571,43.857142857142854,0.0
0.0,2012-10-28,69.71428571428571,49.42857142857143,0.0
5.0,2012-11-04,66.28571428571429,35.0,0.0
5.0,2012-11-25,72.42857142857143,29.428571428571427,1.0
6.0,2012-12-02,46.714285714285715,15.714285714285714,0.0
2.0,2012-12-09,16.714285714285715,2.2857142857142856,0.0
16.0,2012-12-16,19.0,17.0,4.0
16.0,2012-12-23,55.285714285714285,28.285714285714285,2.0
8.0,2012-12-30,69.71428571428571,51.714285714285715,0.0
5.0,2013-01-06,69.28571428571429,36.0,5.0
24.0,2013-01-13,29.142857142857142,13.285714285714286,4.0
25.0,2013-01-20,20.0,10.0,0.0
45.0,2013-01-27,19.857142857142858,10.0,0.0
70.0,2013-02-03,39.57142857142857,21.571428571428573,0.0
46.0,2013-02-10,28.428571428571427,8.0,0.0
13.0,2013-02-17,15.714285714285714,8.0,0.0
5.0,2013-02-24,26.285714285714285,8.0,0.0
24.0,2013-03-03,27.428571428571427,8.0,0.0
4.0,2013-03-10,48.142857142857146,40.0,0.0
9.0,2013-03-17,42.42857142857143,42.42857142857143,0.0
0.0,2013-03-24,50.57142857142857,7.714285714285714,0.0
0.0,2013-03-31,28.714285714285715,6.0,0.0
8.0,2013-04-07,51.285714285714285,5.714285714285714,0.0
11.0,2013-04-14,67.0,44.142857142857146,0.0
0.0,2013-04-21,67.0,50.857142857142854,0.0
1.0,2013-04-28,68.71428571428571,53.857142857142854,0.0
0.0,2013-05-05,75.0,65.0,0.0
2.0,2013-05-12,75.0,59.714285714285715,0.0
3.0,2013-05-19,75.0,72.42857142857143,0.0
0.0,2013-05-26,75.0,43.285714285714285,0.0
0.0,2013-06-02,75.0,68.85714285714286,0.0
0.0,2013-06-09,75.0,73.42857142857143,0.0
0.0,2013-06-16,75.0,74.0,0.0
0.0,2013-06-23,75.0,74.0,0.0
1.0,2013-06-30,75.0,77.57142857142857,0.0
0.0,2013-07-07,75.0,79.0,0.0
0.0,2013-07-14,75.0,79.0,0.0
1.0,2013-07-21,75.0,79.0,0.0
0.0,2013-07-28,75.0,79.0,0.0
0.0,2013-08-04,75.0,79.0,0.0
0.0,2013-08-11,75.0,79.0,0.0
0.0,2013-08-18,75.0,79.0,0.0
0.0,2013-08-25,75.0,79.0,0.0
0.0,2013-09-01,75.0,79.0,0.0
0.0,2013-09-08,75.0,79.0,0.0
0.0,2013-09-15,75.0,76.0,0.0
0.0,2013-09-22,75.0,68.42857142857143,0.0
0.0,2013-09-29,75.0,66.0,0.0
0.0,2013-10-06,75.0,62.42857142857143,0.0
0.0,2013-10-13,77.14285714285714,53.0,0.0
0.0,2013-10-20,80.0,70.85714285714286,0.0
0.0,2013-10-27,80.0,74.0,0.0
1.0,2013-11-03,80.0,52.0,0.0
0.0,2013-11-10,76.0,44.285714285714285,0.0
0.0,2013-11-17,49.285714285714285,16.428571428571427,0.0
0.0,2013-11-24,43.857142857142854,25.571428571428573,0.0
0.0,2013-12-01,48.857142857142854,19.571428571428573,0.0
0.0,2013-12-08,41.142857142857146,6.142857142857143,1.0
0.0,2013-12-15,45.0,9.428571428571429,0.0
0.0,2013-12-22,64.0,17.142857142857142,0.0
0.0,2013-12-29,60.142857142857146,32.57142857142857,0.0
1.0,2014-01-05,63.714285714285715,27.714285714285715,0.0
1.0,2014-01-12,55.714285714285715,31.571428571428573,0.0
3.0,2014-01-19,57.142857142857146,16.0,0.0
2.0,2014-01-26,39.142857142857146,28.428571428571427,0.0
8.0,2014-02-02,43.57142857142857,15.571428571428571,0.0
4.0,2014-02-09,61.142857142857146,14.0,0.0
9.0,2014-02-16,64.14285714285714,16.571428571428573,0.0
2.0,2014-02-23,68.57142857142857,21.0,0.0
3.0,2014-03-02,66.0,17.142857142857142,1.0
4.0,2014-03-09,72.0,14.285714285714286,2.0
0.0,2014-03-16,74.57142857142857,62.0,0.0
1.0,2014-03-23,79.42857142857143,45.142857142857146,0.0
3.0,2014-03-30,70.0,32.857142857142854,0.0
1.0,2014-04-06,70.0,74.85714285714286,0.0
2.0,2014-04-13,70.0,51.42857142857143,0.0
1.0,2014-04-20,70.0,32.0,0.0
0.0,2014-04-27,70.0,68.28571428571429,0.0
0.0,2014-05-04,70.0,67.28571428571429,0.0
1.0,2014-05-11,70.0,68.71428571428571,0.0
0.0,2014-05-18,70.0,50.857142857142854,0.0
0.0,2014-05-25,70.0,62.857142857142854,0.0
0.0,2014-06-01,70.0,72.42857142857143,0.0
0.0,2014-06-08,70.0,68.42857142857143,0.0
0.0,2014-06-15,70.0,65.0,0.0
0.0,2014-06-22,70.0,65.0,0.0
0.0,2014-06-29,70.0,65.0,0.0
0.0,2014-07-06,70.0,65.0,0.0
0.0,2014-07-13,70.0,65.0,0.0
0.0,2014-07-20,70.0,65.0,0.0
0.0,2014-07-27,70.0,65.0,0.0
0.0,2014-08-03,70.0,65.0,0.0
0.0,2014-08-10,70.0,65.0,0.0
0.0,2014-08-17,70.0,65.0,0.0
0.0,2014-08-24,70.0,67.14285714285714,0.0
0.0,2014-08-31,70.0,64.0,0.0
0.0,2014-09-07,70.0,64.0,0.0
0.0,2014-09-14,70.0,64.0,0.0
0.0,2014-09-21,70.0,64.0,0.0
1.0,2014-09-28,70.0,65.42857142857143,0.0
0.0,2014-10-05,70.0,73.0,0.0
0.0,2014-10-12,70.0,72.14285714285714,0.0
1.0,2014-10-19,70.0,67.0,0.0
2.0,2014-10-26,70.0,60.142857142857146,0.0
0.0,2014-11-02,76.0,64.71428571428571,0.0
0.0,2014-11-09,75.85714285714286,46.142857142857146,0.0
0.0,2014-11-16,79.71428571428571,53.42857142857143,0.0
0.0,2014-11-23,72.0,42.142857142857146,0.0
0.0,2014-11-30,51.57142857142857,30.0,1.0
0.0,2014-12-07,25.142857142857142,8.857142857142858,1.0
1.0,2014-12-14,48.42857142857143,18.571428571428573,0.0
1.0,2014-12-21,54.857142857142854,19.428571428571427,0.0
2.0,2014-12-28,43.285714285714285,21.714285714285715,0.0
4.0,2015-01-04,28.0,4.571428571428571,0.0
4.0,2015-01-11,46.142857142857146,15.428571428571429,0.0
6.0,2015-01-18,52.42857142857143,26.285714285714285,0.0
2.0,2015-01-25,9.571428571428571,18.0,0.0
2.0,2015-02-01,22.142857142857142,9.714285714285714,0.0
3.0,2015-02-08,17.428571428571427,8.857142857142858,0.0
6.0,2015-02-15,44.57142857142857,17.428571428571427,0.0
7.0,2015-02-22,35.0,23.428571428571427,0.0
2.0,2015-03-01,54.714285714285715,18.285714285714285,0.0
1.0,2015-03-08,75.14285714285714,7.714285714285714,2.0
3.0,2015-03-15,74.85714285714286,16.714285714285715,0.0
1.0,2015-03-22,60.714285714285715,34.0,0.0
0.0,2015-03-29,74.14285714285714,29.857142857142858,0.0
2.0,2015-04-05,69.28571428571429,19.0,0.0
3.0,2015-04-12,56.0,44.42857142857143,0.0
3.0,2015-04-19,56.0,58.0,0.0
2.0,2015-04-26,56.0,66.28571428571429,0.0
0.0,2015-05-03,56.0,43.0,0.0
1.0,2015-05-10,56.0,63.0,0.0
1.0,2015-05-17,56.0,66.14285714285714,0.0
0.0,2015-05-31,56.0,63.285714285714285,0.0
0.0,2015-06-07,56.0,72.0,0.0
0.0,2015-06-14,56.0,72.0,0.0
0.0,2015-06-21,56.0,72.85714285714286,0.0
0.0,2015-06-28,56.0,72.0,0.0
0.0,2015-07-05,56.0,73.0,0.0
0.0,2015-07-12,56.0,73.0,0.0
0.0,2015-07-19,56.0,73.0,0.0
0.0,2015-07-26,56.0,73.0,0.0
0.0,2015-08-02,56.0,73.57142857142857,0.0
0.0,2015-08-16,56.0,74.0,0.0
0.0,2015-08-23,56.0,74.0,0.0
0.0,2015-08-30,56.0,74.0,0.0
0.0,2015-09-06,56.0,73.42857142857143,0.0
0.0,2015-09-13,56.0,77.0,0.0
0.0,2015-09-20,56.0,77.0,0.0
0.0,2015-09-27,56.0,73.28571428571429,0.0
0.0,2015-10-04,56.0,69.0,0.0
0.0,2015-10-11,56.0,67.42857142857143,0.0
0.0,2015-10-18,60.142857142857146,23.714285714285715,0.0
0.0,2015-10-25,80.0,68.85714285714286,0.0
0.0,2015-11-01,80.0,51.714285714285715,0.0
0.0,2015-11-08,72.0,31.285714285714285,0.0
0.0,2015-11-15,75.0,51.857142857142854,0.0
0.0,2015-11-29,43.285714285714285,11.714285714285714,0.0
2.0,2015-12-06,52.142857142857146,43.0,0.0
2.0,2015-12-13,63.285714285714285,36.714285714285715,0.0
1.0,2015-12-20,80.42857142857143,57.714285714285715,0.0
3.0,2015-12-27,82.0,61.285714285714285,0.0
26.0,2016-01-03,62.42857142857143,22.571428571428573,0.0
24.0,2016-01-10,57.57142857142857,21.428571428571427,2.0
24.0,2016-01-17,30.142857142857142,8.0,3.0
15.0,2016-01-24,22.571428571428573,2.142857142857143,0.0
47.0,2016-01-31,55.57142857142857,32.0,0.0
62.0,2016-02-07,60.57142857142857,27.857142857142858,0.0
44.0,2016-02-14,48.57142857142857,12.714285714285714,0.0
57.0,2016-02-21,32.714285714285715,9.714285714285714,0.0
41.0,2016-02-28,48.142857142857146,49.0,0.0
36.0,2016-03-06,45.285714285714285,15.857142857142858,0.0
19.0,2016-03-13,66.85714285714286,2.142857142857143,1.0
21.0,2016-03-20,63.42857142857143,8.285714285714286,0.0
28.0,2016-03-27,80.14285714285714,37.42857142857143,0.0
18.0,2016-04-03,72.57142857142857,36.0,0.0
12.0,2016-04-10,68.0,30.714285714285715,3.0
13.0,2016-04-17,68.0,49.285714285714285,7.0
9.0,2016-04-24,66.57142857142857,28.714285714285715,6.0
0.0,2016-10-09,65.0,54.285714285714285,0.0
2.0,2016-10-16,65.0,52.142857142857146,0.0
1.0,2016-10-23,65.0,55.57142857142857,0.0
0.0,2016-10-30,65.0,51.714285714285715,0.0
1.0,2016-11-06,65.14285714285714,29.428571428571427,0.0
0.0,2016-11-13,48.857142857142854,13.857142857142858,6.0
2.0,2016-11-20,59.42857142857143,34.714285714285715,0.0
1.0,2016-11-27,60.857142857142854,53.0,0.0
5.0,2016-12-04,38.714285714285715,20.0,0.0
3.0,2016-12-11,35.0,19.714285714285715,0.0
1.0,2016-12-18,45.142857142857146,17.0,0.0
17.0,2016-12-25,39.857142857142854,27.714285714285715,0.0
38.0,2017-01-01,46.714285714285715,12.571428571428571,0.0
41.0,2017-01-08,12.285714285714286,46.0,0.0
35.0,2017-01-15,27.285714285714285,26.285714285714285,0.0
66.0,2017-01-22,9.714285714285714,21.0,0.0
52.0,2017-01-29,12.857142857142858,19.142857142857142,0.0
33.0,2017-02-05,47.57142857142857,24.714285714285715,0.0
18.0,2017-02-19,66.57142857142857,14.285714285714286,0.0
9.0,2017-02-26,67.14285714285714,45.857142857142854,0.0
10.0,2017-03-05,68.85714285714286,26.285714285714285,0.0
3.0,2017-03-12,76.0,25.285714285714285,0.0
1.0,2017-03-19,76.0,46.285714285714285,0.0
2.0,2017-03-26,70.28571428571429,37.857142857142854,0.0
2.0,2017-04-02,68.0,56.285714285714285,0.0
0.0,2017-04-09,68.0,36.857142857142854,0.0
0.0,2017-04-16,68.0,50.42857142857143,0.0
0.0,2017-04-23,74.42857142857143,13.571428571428571,0.0
2.0,2017-04-30,77.0,19.714285714285715,0.0
2.0,2017-05-07,77.0,65.57142857142857,0.0
4.0,2017-05-14,77.0,50.285714285714285,0.0
1.0,2017-05-21,77.0,70.71428571428571,0.0
1.0,2017-05-28,77.0,69.0,0.0
1.0,2017-06-04,77.0,69.0,0.0
0.0,2017-06-11,77.0,75.57142857142857,0.0
0.0,2017-06-18,77.0,76.0,0.0
1.0,2017-06-25,77.0,76.0,0.0
1.0,2017-07-02,77.0,76.0,0.0
1.0,2017-07-09,77.0,76.0,0.0
0.0,2017-07-16,77.0,76.0,0.0
0.0,2017-07-23,77.0,76.0,0.0
1.0,2017-07-30,77.0,76.0,0.0
10.0,2017-08-06,22.714285714285715,76.0,0.0
4.0,2017-08-20,1.0,76.0,0.0
4.0,2017-08-27,1.0,76.0,0.0
6.0,2017-09-03,1.0,75.14285714285714,0.0
6.0,2017-09-10,1.0,70.0,0.0
3.0,2017-09-17,1.0,65.14285714285714,0.0
4.0,2017-09-24,1.0,67.14285714285714,0.0
1.0,2017-10-01,1.0,61.857142857142854,0.0
1.0,2017-10-08,1.0,57.285714285714285,0.0
14.0,2017-10-15,1.0,44.0,0.0
10.0,2017-10-22,1.0,55.57142857142857,0.0
4.0,2017-10-29,1.0,58.0,0.0
10.0,2017-11-05,1.0,35.0,6.0
6.0,2017-11-12,66.14285714285714,27.571428571428573,0.0
0.0,2017-11-19,62.142857142857146,15.571428571428571,1.0
5.0,2017-11-26,62.857142857142854,36.142857142857146,0.0
9.0,2017-12-03,24.142857142857142,6.571428571428571,0.0
4.0,2017-12-10,47.285714285714285,9.285714285714286,0.0
19.0,2017-12-17,34.857142857142854,4.571428571428571,1.0
25.0,2017-12-24,60.857142857142854,40.57142857142857,0.0
73.0,2017-12-31,38.142857142857146,22.142857142857142,0.0
148.0,2018-01-07,65.14285714285714,42.142857142857146,0.0
162.0,2018-01-14,57.142857142857146,26.0,0.0
104.0,2018-01-21,38.285714285714285,5.0,0.0
78.0,2018-01-28,59.142857142857146,32.42857142857143,2.0
68.0,2018-02-04,44.714285714285715,25.0,7.0
49.0,2018-02-11,14.142857142857142,18.0,5.0
38.0,2018-02-18,39.714285714285715,18.0,1.0
30.0,2018-02-25,33.0,18.0,0.0
11.0,2018-03-04,45.857142857142854,15.571428571428571,0.0
20.0,2018-03-11,66.57142857142857,35.42857142857143,6.0
15.0,2018-03-18,64.85714285714286,42.57142857142857,2.0
13.0,2018-03-25,46.42857142857143,32.142857142857146,0.0
10.0,2018-04-01,70.42857142857143,24.857142857142858,0.0
19.0,2018-04-08,82.0,42.285714285714285,0.0
4.0,2018-04-15,82.0,60.857142857142854,0.0
6.0,2018-04-22,82.0,68.0,0.0
2.0,2018-04-29,82.0,61.285714285714285,0.0
1.0,2018-05-06,82.0,53.285714285714285,0.0
4.0,2018-05-13,82.0,68.0,0.0
0.0,2018-05-20,82.0,68.28571428571429,0.0
2.0,2018-10-07,82.0,62.142857142857146,0.0
0.0,2018-10-14,82.0,75.0,0.0
1.0,2018-10-21,82.0,72.28571428571429,0.0
5.0,2018-10-28,74.71428571428571,39.142857142857146,0.0
5.0,2018-11-04,53.42857142857143,20.428571428571427,0.0
3.0,2018-11-11,55.0,63.714285714285715,0.0
2.0,2018-11-18,56.857142857142854,26.857142857142858,0.0
6.0,2018-11-25,49.857142857142854,8.0,0.0
8.0,2018-12-02,66.14285714285714,42.142857142857146,0.0
6.0,2018-12-09,66.14285714285714,40.57142857142857,0.0
5.0,2018-12-16,28.0,5.0,0.0
20.0,2018-12-23,58.714285714285715,43.42857142857143,0.0
35.0,2018-12-30,30.571428571428573,57.714285714285715,0.0
84.0,2019-01-06,44.142857142857146,22.857142857142858,0.0
105.0,2019-01-13,45.857142857142854,21.857142857142858,1.0
149.0,2019-01-20,32.857142857142854,16.571428571428573,0.0
129.0,2019-01-27,16.571428571428573,17.428571428571427,0.0
109.0,2019-02-03,18.571428571428573,2.5714285714285716,0.0
71.0,2019-02-10,58.142857142857146,13.571428571428571,5.0
47.0,2019-02-17,53.714285714285715,11.857142857142858,0.0
82.0,2019-02-24,56.0,30.0,0.0
7.0,2019-10-06,60.0,62.57142857142857,0.0
1.0,2019-10-13,60.0,71.71428571428571,1.0
1.0,2019-10-20,60.0,68.0,0.0
1.0,2019-10-27,60.0,63.0,0.0
1.0,2019-11-03,65.0,34.42857142857143,0.0
6.0,2019-11-10,64.85714285714286,33.57142857142857,0.0
5.0,2019-11-17,45.0,8.571428571428571,1.0
3.0,2019-11-24,54.57142857142857,11.142857142857142,0.0
5.0,2019-12-01,64.42857142857143,40.857142857142854,0.0
3.0,2019-12-08,54.714285714285715,20.285714285714285,2.0
5.0,2019-12-15,51.857142857142854,17.714285714285715,7.0
8.0,2019-12-22,69.0,54.857142857142854,2.0
16.0,2019-12-29,57.142857142857146,33.285714285714285,0.0
4.0,2009-01-04,45.705882352941174,38.84533016061868,0.0
15.0,2009-01-11,49.23529411764706,38.84533016061868,0.0
58.0,2009-01-18,32.27731092436975,28.746664400441915,1.0440744368266406
2.0,2009-04-19,61.09243697478991,53.62590294892497,0.3085210577864838
0.0,2009-04-26,55.94117647058823,44.362284354550866,0.3085210577864838
1.0,2009-05-03,55.94117647058823,50.38438004589106,0.3085210577864838
3.0,2009-05-10,55.94117647058823,62.2636185943741,0.3085210577864838
2.0,2009-05-17,55.94117647058823,45.175235829013346,0.3085210577864838
0.0,2009-05-24,55.94117647058823,38.84533016061868,0.3085210577864838
0.0,2009-05-31,55.94117647058823,43.581711566244586,0.3085210577864838
0.0,2009-06-07,55.94117647058823,49.62590294892497,0.3085210577864838
0.0,2009-06-14,55.94117647058823,49.603807257584776,0.3085210577864838
0.0,2009-06-21,55.94117647058823,43.86742585195888,0.3085210577864838
1.0,2009-06-28,55.94117647058823,43.581711566244586,0.3085210577864838
2.0,2009-07-05,55.94117647058823,38.84533016061868,0.3085210577864838
9.0,2009-07-12,55.94117647058823,38.84533016061868,0.3085210577864838
15.0,2009-07-19,55.94117647058823,38.84533016061868,0.3085210577864838
16.0,2009-07-26,55.94117647058823,38.84533016061868,0.3085210577864838
14.0,2009-08-02,55.94117647058823,38.84533016061868,0.3085210577864838
25.0,2009-08-09,55.94117647058823,38.84533016061868,0.3085210577864838
17.0,2009-08-16,55.94117647058823,38.84533016061868,0.3085210577864838
7.0,2009-08-23,55.94117647058823,38.84533016061868,0.3085210577864838
13.0,2009-08-30,55.94117647058823,38.84533016061868,0.3085210577864838
27.0,2009-09-06,55.94117647058823,44.72456870910173,0.3085210577864838
18.0,2009-09-13,55.94117647058823,38.84533016061868,0.3085210577864838
43.0,2009-09-20,55.94117647058823,38.84533016061868,0.3085210577864838
72.0,2009-09-27,55.94117647058823,38.84533016061868,0.3085210577864838
75.0,2009-10-04,55.94117647058823,44.46095011472763,0.3085210577864838
96.0,2009-10-11,55.94117647058823,38.84533016061868,0.3085210577864838
83.0,2009-10-18,68.39495798319328,34.81295147446248,0.22037218413320275
50.0,2009-10-25,61.23529411764706,50.2636185943741,0.2644466209598433
185.0,2009-11-01,55.94117647058823,49.714285714285715,0.3085210577864838
112.0,2009-11-08,74.98319327731092,44.285714285714285,0.3085210577864838
60.0,2009-11-15,60.403361344537814,37.40647573723124,0.3085210577864838
78.0,2009-11-22,61.94957983193277,63.692190022945525,0.3085210577864838
64.0,2009-11-29,67.68067226890756,55.549332880088386,0.3085210577864838
46.0,2009-12-06,63.0,22.142857142857142,0.3085210577864838
37.0,2009-12-20,55.94117647058823,38.84533016061868,0.0
18.0,2009-12-27,32.857142857142854,29.318092971870488,0.04407443682664055
12.0,2010-01-10,55.94117647058823,38.84533016061868,0.0
0.0,2010-03-07,45.857142857142854,30.46095011472763,0.0881488736532811
1.0,2010-03-14,36.285714285714285,35.581711566244586,0.04407443682664055
1.0,2010-03-21,67.38655462184873,34.67009433160534,0.3085210577864838
2.0,2010-03-28,65.52941176470588,48.692190022945525,0.3085210577864838
0.0,2010-04-04,69.54621848739495,36.21942721169372,0.22037218413320275
2.0,2010-04-18,61.52100840336134,48.285714285714285,0.3085210577864838
0.0,2010-04-25,55.94117647058823,34.24152290303391,0.3085210577864838
1.0,2010-05-02,55.94117647058823,51.48304580606782,0.3085210577864838
0.0,2010-05-09,68.82352941176471,41.42857142857143,0.3085210577864838
1.0,2010-05-16,67.39495798319328,49.42857142857143,0.3085210577864838
0.0,2010-10-03,55.94117647058823,43.15314013767316,0.3085210577864838
0.0,2010-10-10,55.94117647058823,43.010282994816016,0.3085210577864838
0.0,2010-10-17,58.09243697478991,46.285714285714285,0.3085210577864838
0.0,2010-10-24,73.27731092436976,25.24152290303391,0.1762977473065622
0.0,2010-10-31,70.10924369747899,47.120761451516955,0.2644466209598433
0.0,2010-11-07,58.09243697478991,46.64799864026515,0.3085210577864838
0.0,2010-11-14,58.96638655462185,36.098665760176765,0.3085210577864838
1.0,2010-11-21,59.42857142857143,28.285714285714285,0.3085210577864838
0.0,2010-11-28,28.705882352941178,27.34018866321068,1.0881488736532812
1.0,2010-12-05,50.80672268907563,38.84533016061868,0.0
2.0,2010-12-12,11.571428571428571,34.581711566244586,0.04407443682664055
8.0,2010-12-19,53.3781512605042,38.84533016061868,0.0
6.0,2010-12-26,35.97478991596638,34.43885442338744,0.04407443682664055
18.0,2011-01-02,30.6890756302521,38.84533016061868,0.0
34.0,2011-01-09,58.84033613445378,41.0323786861562,0.13222331047992164
113.0,2011-01-16,61.84033613445378,39.790855783122296,0.22037218413320275
91.0,2011-01-23,40.99159663865546,27.48304580606782,0.0881488736532811
